,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Windspeed (mph)
1,Provideniya,RU,19.4,64.42,-173.23,62,20,17.9
2,Jamestown,AU,62.67,-33.21,138.6,67,0,4.5
3,Tura,IN,63.48,25.52,90.21,93,24,4.94
4,Albany,US,64.4,42.65,-73.75,45,90,3.36
5,Rikitea,PF,77.25,-23.12,-134.97,100,0,5.5
6,Chokurdakh,RU,15.69,70.62,147.9,100,24,4.38
7,Riyadh,SA,75.2,24.63,46.72,50,40,8.05
8,Ambilobe,MG,74.91,-13.19,49.05,95,92,4.72
9,Hermanus,ZA,64,-34.42,19.24,92,0,7
10,Half Moon Bay,US,75,37.46,-122.43,64,40,9.17
11,Machico,PT,62.6,32.7,-16.77,67,20,4.7
12,Mweka,CD,70.14,-4.85,21.56,97,76,2.59
13,Saint-Orens-de-Gameville,FR,45,43.56,1.54,93,0,3.36
14,Ushuaia,AR,39.2,-54.81,-68.31,80,75,13.87
15,Mataura,NZ,63,-46.19,168.86,59,0,3
16,Zhangye,CN,40.53,38.94,100.46,93,92,8.19
17,Puerto Ayora,EC,84.2,-0.74,-90.35,70,20,14.99
18,Sur,OM,82.47,22.57,59.53,78,20,7.63
19,Rocha,UY,55.2,-34.48,-54.34,82,0,4.72
20,Ust-Nera,RU,24.33,64.57,143.24,86,68,2.37
21,Mogadishu,SO,82.56,2.04,45.34,100,20,9.75
22,Springbok,ZA,49.17,-29.67,17.88,95,68,3.94
23,Kapaa,US,82.4,22.08,-159.32,58,20,12.75
24,Upernavik,GL,28.56,72.79,-56.15,83,56,12.77
25,Mar del Plata,AR,49.44,-46.43,-67.52,100,92,9.42
26,Yellowknife,CA,30.99,62.45,-114.38,86,90,10.29
27,Sistranda,NO,37,63.73,8.83,93,20,5.82
28,Georgetown,GY,80.6,6.8,-58.16,74,20,9.17
29,Abong Mbang,CM,67.89,3.98,13.18,94,56,2.15
30,Hami,CN,44.85,42.84,93.51,62,92,4.16
31,Wajima,JP,44.6,37.4,136.9,56,0,10.29
32,Norman Wells,CA,30.2,65.28,-126.83,68,90,8.05
33,Galle,US,75.99,29.74,-97.91,60,1,11.41
34,Kahului,US,84.2,20.89,-156.47,51,20,17.22
35,Hambantota,LK,81.93,6.12,81.12,100,64,5.61
36,Saint Anthony,US,55.4,43.97,-111.68,54,20,21.92
37,Punta Arenas,CL,44.6,-53.16,-70.91,70,75,8.05
38,Sao Filipe,CV,71.58,14.9,-24.5,95,0,15.9
39,Evensk,RU,27.93,61.92,159.24,93,0,16.69
40,Kibondo,TZ,60.69,-3.59,30.72,95,48,2.71
41,Rupert,US,60.8,42.62,-113.68,51,90,4.7
42,Dikson,RU,13.44,73.51,80.55,100,64,7.29
43,Port Elizabeth,US,64.4,39.31,-74.98,76,1,10.29
44,Alekseyevsk,RU,26.04,57.84,108.35,55,32,6.51
45,Busselton,AU,55.99,-33.64,115.35,61,0,12.33
46,Beaufort,MY,78.8,5.36,115.76,94,75,2.93
47,Ngunguru,NZ,66.99,-35.62,174.5,60,80,8.99
48,Nome,US,69.01,30.04,-94.42,82,1,5.82
49,East London,ZA,71.85,-33.02,27.91,100,44,20.27
50,Bredasdorp,ZA,64.4,-34.53,20.04,88,0,4.94
51,Port Alfred,ZA,64,-33.59,26.89,92,8,3
52,Atuona,PF,82.74,-9.8,-139.03,99,76,13.67
53,Seoul,KR,51.8,37.57,126.98,34,1,2.24
54,Bathsheba,BB,77,13.22,-59.52,78,40,17.22
55,Barrow,AR,69.87,-38.31,-60.23,44,0,11.21
56,Muroto,JP,62.6,33.37,134.14,45,20,10.29
57,Labuhan,ID,75.18,-2.54,115.51,95,76,2.15
58,Butaritari,KI,82.02,3.07,172.79,100,80,14.23
59,Aosta,IT,46.4,45.74,7.32,87,90,1.12
60,Tasiilaq,GL,32,65.61,-37.64,93,92,24.16
61,Jiancheng,CN,71.01,30.39,104.55,87,8,4.47
62,Bilibino,RU,21.18,68.06,166.44,71,0,0.92
63,Hobart,AU,60.01,-42.88,147.33,44,20,11.41
64,Cabo San Lucas,MX,81,22.89,-109.91,53,5,8.05
65,Pangoa,PE,65.46,-12.12,-73,86,24,1.03
66,Saint-Philippe,CA,48.2,45.36,-73.48,78,75,7.74
67,Bambous Virieux,MU,80.6,-20.34,57.76,78,40,14.99
68,Awbari,LY,62.76,26.59,12.77,33,0,11.1
69,Rome,IT,50,41.89,12.48,93,0,1.12
70,Novyy Urgal,RU,32.52,51.07,132.56,79,32,4.38
71,Geraldton,CA,30.2,49.72,-86.95,86,90,18.34
72,Vaini,IN,66.72,15.34,74.49,89,0,1.7
73,Nuevitas,CU,78.8,21.55,-77.27,74,20,19.46
74,Arraial do Cabo,BR,81.84,-22.97,-42.02,81,0,21.05
